recno,Q,Img,Name,Type,Score,delSc,Prob,zsp,zph,e_zph,Mod,Ref,gmag,rmag,zmag,Survey,Sloan,_RA,_DE,pair_ok
344,B,344,DESI-159.7672-08.9316,DC,3.0,0,0.89,,0.397,0.031,L18,,20.1,18.48,17.62,DECaLS,Sloan,159.7672,-8.9316,True
345,B,345,DESI-161.8206+27.9906,DC,3.0,0,1.0,,0.427,0.03,L18,,19.39,17.72,16.72,DECaLS,Sloan,161.8206,27.9906,True
346,B,346,DESI-162.2464+10.5049,DC,3.0,0,0.45,0.5238,,,L18,,20.88,19.07,17.95,DECaLS,Sloan,162.2464,10.5049,True
347,B,347,DESI-162.6485+19.9352,DC,3.0,0,0.97,0.4127,,,L18,,22.94,20.91,19.36,DECaLS,Sloan,162.6485,19.9352,True
348,B,348,DESI-166.1262-08.6326,DC,3.0,0,0.23,,0.292,0.054,L18,,19.76,18.54,17.7,DECaLS,Sloan,166.1262,-8.6326,True
349,B,349,DESI-174.0622+41.0525,DC,3.0,0,0.29,,0.517,0.029,L18,,20.74,18.95,17.72,MzLS,Sloan,174.0622,41.0525,True
350,B,350,DESI-175.7970-01.6598,REX,3.0,2,0.96,0.288,,,shielded,m,20.9,19.98,18.74,DECaLS,Sloan,175.797,-1.6598,True
351,B,351,DESI-176.2391+30.5580,DC,3.0,0,1.0,,0.795,0.066,L18,,21.79,20.63,19.16,DECaLS,Sloan,176.2391,30.558,True
352,B,352,DESI-179.5944+72.4798,DC,3.0,0,0.98,,0.797,0.051,L18,,22.64,21.06,19.22,MzLS,Sloan,179.5944,72.4798,True
353,B,353,DESI-179.8536-05.1806,DC,3.0,0,0.97,,0.417,0.024,L18,,20.12,18.34,17.38,DECaLS,Sloan,179.8536,-5.1806,True
354,B,354,DESI-180.7746+69.8060,DC,3.0,0,0.98,,0.416,0.024,L18,,20.17,18.41,17.42,MzLS,Sloan,180.7746,69.806,True
355,B,355,DESI-181.0606+13.2918,DC,3.0,0,0.49,,0.971,0.227,shielded,,23.26,21.35,19.15,DECaLS,Sloan,181.0606,13.2918,True
356,B,356,DESI-181.5279+30.1133,REX,3.0,0,0.86,0.3189,,,shielded,,19.8,18.12,17.25,DECaLS,Sloan,181.5279,30.1133,True
357,B,357,DESI-184.9201+44.8673,REX,3.0,0,0.41,,0.491,0.026,shielded,,20.89,19.16,18.07,MzLS,Sloan,184.9201,44.8673,True
358,B,358,DESI-184.9250+00.8409,DC,3.0,0,0.34,,0.309,0.025,L18,e,18.52,16.97,16.09,DECaLS,Sloan,184.925,0.8409,True
359,B,359,DESI-185.0208+26.4909,DC,3.0,2,0.98,,0.71,0.019,L18,,22.63,20.54,18.88,DECaLS,Sloan,185.0208,26.4909,True
360,B,360,DESI-186.7661+28.0517,DC,3.0,0,0.59,,0.557,0.029,shielded,,22.17,20.33,19.1,DECaLS,Sloan,186.7661,28.0517,True
361,B,361,DESI-188.3339+14.1325,REX,3.0,0,0.86,,0.588,0.125,shielded,a,21.08,19.91,18.88,DECaLS,Sloan,188.3339,14.1325,True
362,B,362,DESI-189.5574+27.3029,DC,3.0,0,0.47,,0.348,0.024,shielded,,20.88,19.31,18.5,DECaLS,Sloan,189.5574,27.3029,True
363,B,363,DESI-190.4916+03.7894,REX,3.0,2,0.95,,0.416,0.021,shielded,e,22.28,20.46,19.56,DECaLS,Sloan,190.4916,3.7894,True
364,B,364,DESI-191.3160+19.0924,DC,3.0,0,0.12,,0.447,0.015,L18,,20.58,18.72,17.71,DECaLS,Sloan,191.316,19.0924,True
365,B,365,DESI-192.0695+07.7162,REX,3.0,0,0.58,,0.576,0.022,shielded,,22.82,20.93,19.63,DECaLS,Sloan,192.0695,7.7162,True
366,B,366,DESI-200.0505-08.5058,DC,3.0,0,0.98,,0.611,0.036,L18,,21.21,19.72,18.45,DECaLS,Sloan,200.0505,-8.5058,True
367,B,367,DESI-200.8958+06.1545,DC,3.0,0,0.31,,0.324,0.01,L18,,19.29,17.63,16.76,DECaLS,Sloan,200.8958,6.1545,True
368,B,368,DESI-202.9388+51.5753,DC,3.0,0,0.99,,0.282,0.02,L18,,19.06,17.57,16.75,MzLS,Sloan,202.9388,51.5753,True
369,B,369,DESI-203.8331-08.4487,DC,3.0,0,0.16,,0.486,0.078,L18,,21.23,19.89,18.88,DECaLS,Sloan,203.8331,-8.4487,True
370,B,370,DESI-209.6224+16.9285,REX,3.0,2,0.93,,0.845,0.055,shielded,,21.23,20.57,19.3,DECaLS,Sloan,209.6224,16.9285,True
371,B,371,DESI-214.8006+53.4366,DC,3.0,0,0.98,0.1527,,,L18,,21.48,19.5,17.98,MzLS,Sloan,214.8006,53.4366,True
372,B,372,DESI-214.8651-04.0003,REX,3.0,0,0.77,0.6031,,,shielded,,21.0,20.18,19.23,DECaLS,Sloan,214.8651,-4.0003,True
373,B,373,DESI-218.0748+07.0556,DC,3.0,0,0.79,0.5642,,,L18,,22.88,21.27,19.79,DECaLS,Sloan,218.0748,7.0556,True
374,B,374,DESI-219.2455+29.6141,DC,3.0,0,0.46,0.5041,,,L18,,20.47,18.8,17.89,DECaLS,Sloan,219.2455,29.6141,True
375,B,375,DESI-220.4044+50.2463,DC,3.0,0,1.0,0.5422,,,L18,,21.96,21.05,19.46,MzLS,Sloan,220.4044,50.2463,True
376,B,376,DESI-223.1039+48.4711,DC,3.0,0,0.56,0.4441,,,L18,,20.81,18.97,17.99,MzLS,Sloan,223.1039,48.4711,True
377,B,377,DESI-224.3857-01.9882,REX,3.0,2,0.79,,0.626,0.103,shielded,k,21.18,20.05,19.02,DECaLS,Sloan,224.3857,-1.9882,True
378,B,378,DESI-225.4050+52.1417,DC,3.0,0,0.98,0.5527,,,L18,,23.34,21.73,19.99,MzLS,Sloan,225.405,52.1417,True
379,B,379,DESI-228.0786+20.8316,DC,3.0,0,0.19,,0.432,0.034,L18,,21.64,19.93,18.98,DECaLS,Sloan,228.0786,20.8316,True
380,B,380,DESI-228.8268+63.2724,DC,3.0,0,0.22,0.6335,,,L18,,21.47,19.59,18.05,MzLS,Sloan,228.8268,63.2724,True
381,B,381,DESI-231.2874+42.4646,DC,3.0,0,0.17,0.2971,,,L18,e,24.01,23.03,21.61,MzLS,Sloan,231.2874,42.4646,True
382,B,382,DESI-231.4998+08.7774,DC,3.0,0,0.8,0.28,,,L18,,21.76,20.26,18.92,DECaLS,Sloan,231.4998,8.7774,True
383,B,383,DESI-231.8201+12.9511,DC,3.0,0,0.8,,0.709,0.148,L18,,22.64,21.25,19.74,DECaLS,Sloan,231.8201,12.9511,True
384,B,384,DESI-233.7453+01.3400,DC,3.0,0,0.34,,0.31,0.02,L18,,18.9,17.31,16.44,DECaLS,Sloan,233.7453,1.34,True
385,B,385,DESI-234.4783+14.7232,DC,3.0,0,0.98,0.2603,,,L18,,22.07,20.94,19.39,DECaLS,Sloan,234.4783,14.7232,True
386,B,386,DESI-236.0113+26.1712,REX,3.0,2,0.29,0.3359,,,shielded,,20.61,20.14,19.15,DECaLS,Sloan,236.0113,26.1712,True
387,B,387,DESI-236.3307+16.2141,DC,3.0,0,0.18,0.5424,,,L18,,20.25,18.37,17.4,DECaLS,Sloan,236.3307,16.2141,True
388,B,388,DESI-236.4854+10.0292,DC,3.0,0,0.95,0.5457,,,L18,,21.2,19.46,17.93,DECaLS,Sloan,236.4854,10.0292,True
389,B,389,DESI-236.5553+35.0802,DC,3.0,0,0.99,0.5426,,,L18,,20.08,18.79,17.95,MzLS,Sloan,236.5553,35.0802,True
390,B,390,DESI-244.3589+20.7108,DC,3.0,0,1.0,0.5273,,,L18,,22.41,20.83,19.4,DECaLS,Sloan,244.3589,20.7108,True
391,B,391,DESI-244.5899+53.1871,DC,3.0,0,0.45,,0.454,0.028,L18,,20.67,18.93,17.87,MzLS,Sloan,244.5899,53.1871,True
392,B,392,DESI-255.6529+28.5791,DC,3.0,0,1.0,0.3393,,,L18,,20.75,19.0,18.02,DECaLS,Sloan,255.6529,28.5791,True
393,B,393,DESI-257.4348+31.9046,DC,3.0,0,0.99,0.3667,,,L18,,21.9,20.62,18.99,DECaLS,Sloan,257.4348,31.9046,True
394,B,394,DESI-259.0541+28.5928,DC,3.0,0,0.92,,0.277,0.007,L18,,19.05,17.51,16.68,DECaLS,Sloan,259.0541,28.5928,True
395,B,395,DESI-259.7428+11.2635,REX,3.0,2,0.18,0.5802,,,shielded,,19.76,18.8,18.11,DECaLS,Sloan,259.7428,11.2635,True
396,B,396,DESI-267.2985+23.5101,DC,3.0,0,0.98,0.5566,,,shielded,a,19.39,17.95,17.08,DECaLS,Sloan,267.2985,23.5101,True
397,B,397,DESI-269.7333+29.0742,REX,3.0,2,0.97,0.2183,,,shielded,,22.26,20.73,19.91,DECaLS,Sloan,269.7333,29.0742,True
398,B,398,DESI-269.7858+41.9039,REX,3.0,0,1.0,,0.716,0.104,shielded,,21.36,20.0,18.36,MzLS,Sloan,269.7858,41.9039,True
399,B,399,DESI-273.4736+34.7448,DC,3.0,0,0.5,0.3106,,,L18,,19.99,18.37,17.45,MzLS,Sloan,273.4736,34.7448,True
400,B,400,DESI-285.9297+52.4182,DC,3.0,0,1.0,0.326,,,shielded,a,21.65,20.15,18.63,MzLS,Sloan,285.9297,52.4182,True
401,B,401,DESI-293.9927+58.1525,DC,3.0,0,0.58,0.3202,,,L18,,20.81,18.92,17.43,MzLS,Sloan,293.9927,58.1525,True
402,B,402,DESI-311.4249-10.6762,DC,3.0,0,0.34,0.6334,,,L18,,17.43,16.37,15.61,DECaLS,Sloan,311.4249,-10.6762,True
403,B,403,DESI-313.9780+08.7331,DC,3.0,0,0.63,0.1857,,,L18,,22.87,21.13,19.42,DECaLS,Sloan,313.978,8.7331,True
404,B,404,DESI-332.7233-40.9782,REX,3.0,2,0.32,0.481,,,shielded,,21.36,20.47,19.35,DECaLS,Sloan,332.7233,-40.9782,True
405,B,405,DESI-335.2155+00.9713,REX,3.0,2,0.32,,0.341,0.036,shielded,e,19.48,17.76,16.83,DECaLS,Sloan,335.2155,0.9713,True
406,B,406,DESI-335.2291-11.4857,DC,3.0,0,0.85,,0.52,0.009,L18,,21.75,19.78,18.57,DECaLS,Sloan,335.2291,-11.4857,True
407,B,407,DESI-337.2103+14.9081,DC,3.0,0,0.99,0.5512,,,L18,,22.78,21.62,19.98,DECaLS,Sloan,337.2103,14.9081,True
408,B,408,DESI-342.1516+20.2529,DC,3.0,0,0.13,0.5847,,,L18,,22.68,20.8,18.91,DECaLS,Sloan,342.1516,20.2529,True
409,B,409,DESI-344.6262-58.6910,REX,3.0,2,0.94,0.3979,,,shielded,,19.43,17.92,17.19,DECaLS,Sloan,344.6262,-58.691,True
410,B,410,DESI-353.4326-03.4619,REX,3.0,0,0.94,0.6753,,,L18,,21.51,20.72,19.76,DECaLS,Sloan,353.4326,-3.4619,True
411,B,411,DESI-353.6004+17.9899,REX,3.0,0,0.23,,0.432,0.031,shielded,,22.76,20.96,19.99,DECaLS,Sloan,353.6004,17.9899,True
412,B,412,DESI-354.0428-02.1264,REX,3.0,2,0.99,,0.485,0.084,shielded,a,20.6,19.37,18.44,DECaLS,Sloan,354.0428,-2.1264,True
413,B,413,DESI-356.8114-00.7980,DC,3.0,0,0.52,,0.786,0.017,L18,,22.99,20.86,18.98,DECaLS,Sloan,356.8114,-0.798,True
414,B,414,DESI-357.3718-60.0110,REX,3.0,2,0.14,,0.37,0.069,shielded,,20.24,19.07,18.39,DECaLS,Sloan,357.3718,-60.011,True
415,B,415,DESI-359.1477-13.2930,DC,3.0,0,1.0,0.5214,,,L18,,21.68,20.67,19.28,DECaLS,Sloan,359.1477,-13.293,True
416,C,416,DESI-000.0254+21.6415,REX,2.5,1,0.24,0.503,,,L18,,20.98,19.66,18.59,DECaLS,Sloan,0.0254,21.6415,True
417,C,417,DESI-000.0369+21.2841,DC,2.5,1,1.0,,0.357,0.066,L18,,21.66,20.06,19.23,DECaLS,Sloan,0.0369,21.2841,True
418,C,418,DESI-000.2881-10.5619,DC,2.5,1,0.18,0.438,,,L18,,20.75,19.66,18.54,DECaLS,Sloan,0.2881,-10.5619,True
419,C,419,DESI-000.4022-04.0111,REX,2.5,1,0.17,0.7237,,,shielded,,21.58,20.51,19.26,DECaLS,Sloan,0.4022,-4.0111,True
420,C,420,DESI-000.6943+27.0894,REX,2.5,1,0.39,0.5841,,,L18,,21.85,21.08,19.77,DECaLS,Sloan,0.6943,27.0894,True
421,C,421,DESI-001.1051-60.0972,REX,2.5,1,0.56,,0.752,0.072,shielded,,21.96,20.98,19.84,DECaLS,Sloan,1.1051,-60.0972,True
422,C,422,DESI-001.2742-54.2626,REX,2.0,0,0.36,,0.534,0.047,shielded,,21.05,19.2,18.0,DECaLS,Sloan,1.2742,-54.2626,True
423,C,423,DESI-001.4446+15.8147,DC,2.5,1,0.41,0.2141,,,L18,,18.88,17.5,16.67,DECaLS,Sloan,1.4446,15.8147,True
424,C,424,DESI-001.6798+05.0237,DC,2.5,1,0.9,0.4323,,,shielded,,20.22,18.57,17.56,DECaLS,Sloan,1.6798,5.0237,True
425,C,425,DESI-001.7036-11.2181,DC,2.5,1,0.11,0.2862,,,L18,,20.78,19.15,18.25,DECaLS,Sloan,1.7036,-11.2181,True
426,C,426,DESI-001.8280+01.5349,REX,2.5,1,0.88,0.3217,,,shielded,,20.46,19.32,18.64,DECaLS,Sloan,1.828,1.5349,True
427,C,427,DESI-002.0769-06.3760,REX,2.0,0,0.17,0.589,,,shielded,,21.75,20.64,19.45,DECaLS,Sloan,2.0769,-6.376,True
428,C,428,DESI-002.2652-52.4195,REX,2.5,1,0.78,,0.275,0.037,shielded,,20.94,19.79,18.79,DECaLS,Sloan,2.2652,-52.4195,True
429,C,429,DESI-002.4643-34.6088,REX,2.0,0,0.17,,0.775,0.033,shielded,,21.35,20.53,19.47,DECaLS,Sloan,2.4643,-34.6088,True
430,C,430,DESI-002.5204-35.7296,REX,2.0,2,0.17,,0.567,0.086,shielded,,20.65,19.71,18.86,DECaLS,Sloan,2.5204,-35.7296,True
431,C,431,DESI-002.5452-60.5666,REX,2.0,2,0.19,,0.774,0.051,shielded,,21.8,20.81,19.58,DECaLS,Sloan,2.5452,-60.5666,True
432,C,432,DESI-002.7167+18.5282,DC,2.5,1,0.79,,0.604,0.072,L18,,22.05,20.58,19.41,DECaLS,Sloan,2.7167,18.5282,True
433,C,433,DESI-002.9359+01.0175,REX,2.0,2,0.15,0.7402,,,L18,,21.31,20.44,19.27,DECaLS,Sloan,2.9359,1.0175,True
434,C,434,DESI-003.0228-44.3054,REX,2.0,2,0.62,,0.853,0.057,shielded,,21.85,20.93,19.46,DECaLS,Sloan,3.0228,-44.3054,True
435,C,435,DESI-003.2647-32.9648,REX,2.5,1,0.5,,0.482,0.086,shielded,,20.7,19.07,18.07,DECaLS,Sloan,3.2647,-32.9648,True
436,C,436,DESI-003.8795+24.4528,DC,2.5,1,0.94,0.597,,,shielded,,21.15,19.33,18.0,DECaLS,Sloan,3.8795,24.4528,True
437,C,437,DESI-003.9009-29.8221,DC,2.5,1,0.99,,0.873,0.05,shielded,,21.97,20.53,18.74,DECaLS,Sloan,3.9009,-29.8221,True
438,C,438,DESI-004.0093-13.4169,DC,2.5,1,0.95,0.4246,,,shielded,,21.23,19.39,18.31,DECaLS,Sloan,4.0093,-13.4169,True
439,C,439,DESI-004.2156-05.8182,DC,2.5,1,0.97,0.3293,,,shielded,,22.1,20.41,19.21,DECaLS,Sloan,4.2156,-5.8182,True
440,C,440,DESI-004.7352-31.8716,REX,2.5,1,0.13,,0.288,0.023,shielded,,19.65,18.64,18.0,DECaLS,Sloan,4.7352,-31.8716,True
441,C,441,DESI-004.8732-31.1123,REX,2.5,1,0.15,,0.323,0.027,shielded,,22.01,20.44,19.64,DECaLS,Sloan,4.8732,-31.1123,True
442,C,442,DESI-005.2856-39.3724,REX,2.5,1,0.3,,0.342,0.03,shielded,,19.71,18.09,17.21,DECaLS,Sloan,5.2856,-39.3724,True
443,C,443,DESI-005.5523-04.4710,REX,2.0,2,0.12,0.6013,,,shielded,,21.36,20.17,19.03,DECaLS,Sloan,5.5523,-4.471,True
444,C,444,DESI-006.0703+01.4212,DC,2.0,0,0.48,0.4951,,,L18,,20.97,19.28,18.19,DECaLS,Sloan,6.0703,1.4212,True
445,C,445,DESI-006.0848-64.9549,REX,2.0,2,0.12,,0.86,0.083,shielded,,21.54,20.79,19.48,DECaLS,Sloan,6.0848,-64.9549,True
446,C,446,DESI-006.1955-57.9429,REX,2.0,2,0.14,,0.751,0.065,shielded,,21.58,20.75,19.8,DECaLS,Sloan,6.1955,-57.9429,True
447,C,447,DESI-006.2199-01.8426,REX,2.5,1,0.21,0.6907,,,L18,,22.03,21.06,19.84,DECaLS,Sloan,6.2199,-1.8426,True
448,C,448,DESI-006.3643+10.1853,DC,2.5,1,0.14,0.4579,,,L18,,20.34,18.58,17.49,DECaLS,Sloan,6.3643,10.1853,True
449,C,449,DESI-006.4166-27.4448,REX,2.5,1,0.68,,0.821,0.051,shielded,,21.79,20.95,19.69,DECaLS,Sloan,6.4166,-27.4448,True
450,C,450,DESI-006.4448+03.6455,DC,2.0,2,0.25,0.4092,,,L18,,21.1,19.39,18.45,DECaLS,Sloan,6.4448,3.6455,True
451,C,451,DESI-006.5376-05.1005,DC,2.0,0,0.18,0.3694,,,L18,,20.65,18.9,17.96,DECaLS,Sloan,6.5376,-5.1005,True
452,C,452,DESI-006.5454-60.8859,REX,2.0,0,0.17,,0.47,0.034,shielded,,20.94,19.64,18.81,DECaLS,Sloan,6.5454,-60.8859,True
453,C,453,DESI-006.6039+04.3071,REX,2.0,2,0.22,0.7094,,,shielded,,21.47,20.38,19.18,DECaLS,Sloan,6.6039,4.3071,True
454,C,454,DESI-006.9518-03.8141,DC,2.0,0,0.14,0.5883,,,L18,,23.69,21.85,19.85,DECaLS,Sloan,6.9518,-3.8141,True
455,C,455,DESI-007.0770-27.5692,DC,2.5,1,0.22,,0.881,0.074,L18,,23.36,21.7,19.84,DECaLS,Sloan,7.077,-27.5692,True
456,C,456,DESI-007.0848-52.1662,REX,2.0,0,0.25,,0.87,0.072,shielded,,21.78,21.05,19.78,DECaLS,Sloan,7.0848,-52.1662,True
457,C,457,DESI-007.3282-25.6413,REX,2.0,2,0.16,,0.63,0.092,shielded,,21.29,20.19,19.21,DECaLS,Sloan,7.3282,-25.6413,True
458,C,458,DESI-007.4408-02.3542,DC,2.5,1,0.99,0.6435,,,L18,,21.34,19.91,18.63,DECaLS,Sloan,7.4408,-2.3542,True
459,C,459,DESI-007.6167-07.3598,REX,2.5,1,0.99,0.6851,,,shielded,,22.21,20.92,19.51,DECaLS,Sloan,7.6167,-7.3598,True
460,C,460,DESI-007.7075-31.8051,DC,2.5,1,0.22,,0.221,0.006,L18,,18.05,16.72,15.97,DECaLS,Sloan,7.7075,-31.8051,True
461,C,461,DESI-007.7552-24.4012,DC,2.5,1,0.99,,0.623,0.013,L18,,21.59,19.72,18.25,DECaLS,Sloan,7.7552,-24.4012,True
462,C,462,DESI-007.9602-00.6805,DC,2.0,0,0.58,0.4808,,,L18,e,21.47,19.63,18.58,DECaLS,Sloan,7.9602,-0.6805,True
463,C,463,DESI-008.0561+11.4205,DC,2.5,1,0.69,0.3835,,,L18,,22.28,20.41,19.38,DECaLS,Sloan,8.0561,11.4205,True
464,C,464,DESI-008.6662-13.6007,DC,2.5,1,0.67,,0.714,0.04,L18,,23.2,21.27,19.63,DECaLS,Sloan,8.6662,-13.6007,True
465,C,465,DESI-008.8590-20.2624,REX,2.5,1,0.73,0.3017,,,shielded,,22.45,20.8,19.93,DECaLS,Sloan,8.859,-20.2624,True
466,C,466,DESI-008.9856-31.0498,REX,2.5,1,0.15,,0.416,0.053,shielded,,22.38,20.68,19.72,DECaLS,Sloan,8.9856,-31.0498,True
467,C,467,DESI-009.4655-11.1778,DC,2.5,1,1.0,0.6034,,,L18,,20.8,19.77,18.64,DECaLS,Sloan,9.4655,-11.1778,True
468,C,468,DESI-009.4901-61.7741,REX,2.0,0,0.13,,0.366,0.095,L18,,21.14,19.98,19.21,DECaLS,Sloan,9.4901,-61.7741,True
469,C,469,DESI-009.5831-22.7369,DC,2.5,1,0.34,,0.669,0.037,L18,,23.23,21.32,19.78,DECaLS,Sloan,9.5831,-22.7369,True
470,C,470,DESI-009.6186-25.3693,REX,2.0,2,0.29,,0.695,0.068,shielded,,21.62,20.51,19.37,DECaLS,Sloan,9.6186,-25.3693,True
471,C,471,DESI-009.6226-36.7634,REX,2.0,2,0.37,,0.761,0.121,shielded,,21.19,20.32,19.28,DECaLS,Sloan,9.6226,-36.7634,True
472,C,472,DESI-009.6721-07.4138,DC,2.0,0,0.5,0.2798,,,shielded,,20.06,18.54,17.65,DECaLS,Sloan,9.6721,-7.4138,True
473,C,473,DESI-009.7395-07.7564,DC,2.5,1,0.84,0.4099,,,shielded,,20.61,18.75,17.73,DECaLS,Sloan,9.7395,-7.7564,True
474,C,474,DESI-010.3697-51.0101,REX,2.0,2,0.39,,0.694,0.038,shielded,,21.45,20.39,19.31,DECaLS,Sloan,10.3697,-51.0101,True
475,C,475,DESI-010.4341-23.6515,DC,2.5,1,1.0,0.3905,,,L18,,19.71,17.91,16.93,DECaLS,Sloan,10.4341,-23.6515,True
476,C,476,DESI-010.5365-09.9688,DC,2.0,0,0.17,0.4173,,,L18,,20.63,19.2,18.26,DECaLS,Sloan,10.5365,-9.9688,True
477,C,477,DESI-010.5692-05.5844,DC,2.0,0,1.0,0.2764,,,L18,,21.78,20.96,19.2,DECaLS,Sloan,10.5692,-5.5844,True
478,C,478,DESI-010.6237-15.1890,DC,2.5,1,0.49,,0.407,0.011,L18,,20.27,18.42,17.47,DECaLS,Sloan,10.6237,-15.189,True
479,C,479,DESI-011.0120+28.5026,REX,2.0,2,0.55,0.6125,,,shielded,,21.54,20.71,19.39,DECaLS,Sloan,11.012,28.5026,True
480,C,480,DESI-011.1176-09.8211,DC,2.0,0,0.29,0.5485,,,L18,,22.4,20.42,18.91,DECaLS,Sloan,11.1176,-9.8211,True
481,C,481,DESI-011.6128-26.6737,DC,2.5,1,0.76,,0.399,0.117,L18,,20.47,18.67,17.75,DECaLS,Sloan,11.6128,-26.6737,True
482,C,482,DESI-011.6341-32.5680,REX,2.0,2,0.27,,0.734,0.038,shielded,,22.07,21.01,19.83,DECaLS,Sloan,11.6341,-32.568,True
483,C,483,DESI-012.5414-15.3948,DC,2.0,0,0.1,,0.458,0.045,L18,,21.15,19.46,18.4,DECaLS,Sloan,12.5414,-15.3948,True
484,C,484,DESI-012.6879+05.1953,DC,2.0,0,0.95,0.394,,,L18,,20.56,18.92,18.0,DECaLS,Sloan,12.6879,5.1953,True
485,C,485,DESI-012.7302-17.3424,DC,2.0,0,0.94,,0.683,0.028,shielded,d,22.52,20.68,19.12,DECaLS,Sloan,12.7302,-17.3424,True
486,C,486,DESI-013.0309-62.2004,REX,2.0,0,0.28,,0.751,0.039,shielded,,21.68,20.78,19.78,DECaLS,Sloan,13.0309,-62.2004,True
487,C,487,DESI-013.0826-21.4621,DC,2.5,1,0.82,,0.533,0.041,L18,,21.0,19.61,18.62,DECaLS,Sloan,13.0826,-21.4621,True
488,C,488,DESI-013.3666-16.0988,DC,2.5,1,0.63,,0.68,0.1,L18,,21.49,20.22,18.92,DECaLS,Sloan,13.3666,-16.0988,True
489,C,489,DESI-013.4834-25.7652,REX,2.0,2,0.72,,0.605,0.023,shielded,,20.95,19.7,18.66,DECaLS,Sloan,13.4834,-25.7652,True
490,C,490,DESI-014.0464+00.1260,REX,2.0,2,0.37,0.4563,,,shielded,,21.88,21.17,19.76,DECaLS,Sloan,14.0464,0.126,True
491,C,491,DESI-014.1862-18.9657,DC,2.0,0,0.96,,0.41,0.029,L18,,21.45,19.64,18.64,DECaLS,Sloan,14.1862,-18.9657,True
492,C,492,DESI-014.2189-16.4016,DC,2.5,1,0.97,,0.359,0.013,L18,,20.36,18.66,17.77,DECaLS,Sloan,14.2189,-16.4016,True
493,C,493,DESI-014.2352-25.7746,DC,2.0,0,0.97,,0.606,0.01,L18,,21.7,19.83,18.4,DECaLS,Sloan,14.2352,-25.7746,True
494,C,494,DESI-014.2478-14.0421,DC,2.0,0,0.94,,0.426,0.036,L18,,20.16,18.42,17.45,DECaLS,Sloan,14.2478,-14.0421,True
495,C,495,DESI-014.2970-13.2907,DC,2.5,1,0.57,,0.388,0.026,L18,,20.51,18.84,17.92,DECaLS,Sloan,14.297,-13.2907,True
496,C,496,DESI-014.3439-25.1811,DC,2.5,1,0.97,,0.535,0.037,shielded,,20.61,19.14,18.07,DECaLS,Sloan,14.3439,-25.1811,True
497,C,497,DESI-014.4115-29.9751,DC,2.5,1,0.97,,0.723,0.023,L18,,21.1,19.29,17.6,DECaLS,Sloan,14.4115,-29.9751,True
498,C,498,DESI-014.6510-23.5443,DC,2.0,0,0.73,,0.513,0.051,shielded,,21.17,19.78,18.83,DECaLS,Sloan,14.651,-23.5443,True
499,C,499,DESI-014.6810-05.0260,DC,2.0,0,0.88,0.5929,,,L18,,21.55,20.62,19.09,DECaLS,Sloan,14.681,-5.026,True
500,C,500,DESI-014.8630-23.2117,DC,2.0,0,0.37,,0.852,0.076,L18,,21.45,20.5,18.99,DECaLS,Sloan,14.863,-23.2117,True
501,C,501,DESI-014.9525-24.7056,DC,2.5,1,0.69,,0.21,0.021,shielded,,19.4,18.08,17.23,DECaLS,Sloan,14.9525,-24.7056,True
502,C,502,DESI-014.9575-05.5838,DC,2.5,1,0.99,0.5091,,,L18,,21.77,20.23,18.98,DECaLS,Sloan,14.9575,-5.5838,True
503,C,503,DESI-014.9799-18.4828,REX,2.0,2,0.19,,0.85,0.056,shielded,,21.41,20.7,19.6,DECaLS,Sloan,14.9799,-18.4828,True
504,C,504,DESI-015.4277-15.0401,DC,2.5,1,0.98,,0.646,0.029,L18,,21.65,20.08,18.74,DECaLS,Sloan,15.4277,-15.0401,True
505,C,505,DESI-015.6198-20.2297,DC,2.5,1,1.0,,0.414,0.033,L18,,20.71,19.01,18.08,DECaLS,Sloan,15.6198,-20.2297,True
506,C,506,DESI-015.6786-23.9439,DC,2.0,0,0.82,,0.799,0.27,L18,,22.43,20.56,18.96,DECaLS,Sloan,15.6786,-23.9439,True
507,C,507,DESI-015.9876-07.1360,DC,2.5,1,1.0,0.4384,,,L18,,20.88,19.17,18.1,DECaLS,Sloan,15.9876,-7.136,True
508,C,508,DESI-016.3301-16.4985,DC,2.0,0,0.52,,0.507,0.062,L18,,21.49,19.89,18.85,DECaLS,Sloan,16.3301,-16.4985,True
509,C,509,DESI-016.4629-05.0324,DC,2.5,1,0.98,0.5998,,,L18,,21.79,20.13,18.57,DECaLS,Sloan,16.4629,-5.0324,True
510,C,510,DESI-016.9846-14.6625,DC,2.5,1,0.97,,0.61,0.034,L18,,21.28,19.99,18.89,DECaLS,Sloan,16.9846,-14.6625,True
511,C,511,DESI-017.1638-08.3884,DC,2.0,0,0.91,0.5754,,,L18,,22.3,20.28,19.03,DECaLS,Sloan,17.1638,-8.3884,True
512,C,512,DESI-017.3346-07.3951,DC,2.5,1,0.72,0.5312,,,L18,,23.29,21.02,18.95,DECaLS,Sloan,17.3346,-7.3951,True
513,C,513,DESI-017.6727-14.7914,DC,2.5,1,1.0,,0.668,0.104,L18,,22.48,21.04,19.74,DECaLS,Sloan,17.6727,-14.7914,True
514,C,514,DESI-017.7799+13.7789,DC,2.5,1,1.0,0.6633,,,L18,,21.16,19.65,18.08,DECaLS,Sloan,17.7799,13.7789,True
515,C,515,DESI-017.8640+10.9845,REX,2.0,2,0.4,0.2782,,,shielded,a,19.76,18.47,17.56,DECaLS,Sloan,17.864,10.9845,True
